Team;Number;"Player name";Position;Rating;"Minutes played";Goals;"Goals own";Assists;Offsides;Shots;Freekicks;Corners;"Throw in";Fouls;"Yellow cards";"Red cards";"Shots on target";"Blocked shots";"Shots off target";"Shots inside pa";"Shots outside pa";"Success Take-Ons";"Total Take-Ons";"Shot Conversion Rate";"Success Tackles";"Total Tackles";"Success Aerial duels";"Total Aerial duels";"Success Ground duels";"Total Ground duels";Interceptions;Recovery;Blocks;Mistakes;"Fouls won";"Success Passes";"Total Passes";"Pass accuracy";"Key passes";"Success Passes in final third";"Total Passes in final third";"Success Passes in middle third";"Total Passes in middle third";"Success Passes in defensive third";"Total Passes in defensive third";"Success Long passes";"Total Long passes";"Success Medium range passes";"Total Medium range passes";"Success Short passes";"Total Short passes";"Success Forward passes";"Total Forward passes";"Success Sideways passes";"Total Sideways passes";"Success Backward passes";"Total Backward passes";"Success Crosses";"Total Crosses";"Conceded goals";Catches;"Parries & Blocks";"Succesful goal kicks";"All goal kicks";"GK Interceptions Successful";"GK Interceptions Total"
"POLONIA WARSZAWA";9;"Maksymilian USAREK";CF;7.6;75;1;0;0;1;2;0;0;0;6;0;0;2;0;0;2;0;1;4;50%;0;1;2;4;1;7;0;7;3;1;0;10;13;77;2;9;10;1;3;0;0;0;0;3;4;7;9;3;6;5;5;2;2;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";16;"Oliwier ZIEBA";RW;8.4;95;1;0;1;0;3;1;2;0;1;0;0;2;0;1;3;0;0;1;33%;2;3;0;2;4;9;1;7;1;1;0;16;24;67;3;9;15;6;7;1;2;1;4;5;7;10;13;5;8;3;7;8;9;1;4;0;0;0;0;0;0;0
"POLONIA WARSZAWA";19;"Jan TYSZKO";CM;10;91;1;0;1;0;6;4;5;0;1;0;0;2;3;1;5;1;7;7;17%;5;7;1;3;13;17;1;12;8;0;1;34;47;72;3;16;25;10;12;8;10;5;9;11;14;18;24;12;18;15;22;7;7;3;8;0;0;0;0;0;0;0
"POLONIA WARSZAWA";2;"Filip GARCZYNSKI";RB;6.5;75;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;1;0%;2;3;0;2;4;9;8;5;3;1;0;19;30;63;1;5;11;10;15;4;4;1;5;6;10;12;15;9;17;5;6;5;7;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";20;"Norbert BIALOOKI";CB;8.3;95;0;0;0;0;5;2;0;0;0;1;0;1;2;2;1;4;7;7;0%;2;2;3;4;9;10;2;7;2;0;5;21;39;54;0;1;4;10;13;10;22;8;19;7;10;6;10;7;22;11;14;3;3;0;1;0;0;0;2;2;0;0
"POLONIA WARSZAWA";8;"Bartosz JAWORSKI";CM;7.7;88;1;0;0;0;2;1;0;0;1;0;0;1;0;1;2;0;1;1;50%;3;5;1;2;5;8;2;11;0;0;0;19;30;63;3;3;7;11;17;5;6;2;5;11;15;6;10;7;12;5;9;7;9;0;3;0;0;0;0;0;0;0
"POLONIA WARSZAWA";11;"Filip PIETRZAK";LW;7.4;53;0;0;0;0;1;0;0;0;2;0;0;1;0;0;1;0;4;4;0%;1;1;0;2;5;6;3;7;1;0;2;16;21;76;0;8;12;3;4;5;5;0;0;3;4;13;17;8;10;3;4;5;7;1;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";3;"Bartosz PAWLAK";LB;6.8;95;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0%;5;6;1;1;10;16;3;11;0;0;1;21;43;49;1;3;7;9;18;9;18;1;6;6;15;14;22;13;32;3;5;5;6;0;2;0;0;0;0;0;0;0
"POLONIA WARSZAWA";10;"Maciej SKROK";CAM;8.4;62;1;0;1;0;2;1;0;0;2;0;0;1;1;0;1;1;2;2;50%;3;4;0;1;5;8;0;8;0;0;2;8;20;40;2;3;7;4;11;1;2;1;3;2;4;5;13;4;10;1;6;3;4;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";4;"Daniel LESNIEWSKI";CB;6.5;95;0;0;0;0;1;0;0;0;2;1;0;0;0;1;1;0;2;2;0%;1;3;1;4;4;6;3;7;1;1;0;27;36;75;1;2;3;11;13;14;20;5;11;12;14;10;11;11;17;16;19;0;0;0;0;0;0;0;4;4;0;0
