Team;Number;"Player name";Position;Rating;"Minutes played";Goals;"Goals own";Assists;Offsides;Shots;Freekicks;Corners;"Throw in";Fouls;"Yellow cards";"Red cards";"Shots on target";"Blocked shots";"Shots off target";"Shots inside pa";"Shots outside pa";"Success Take-Ons";"Total Take-Ons";"Shot Conversion Rate";"Success Tackles";"Total Tackles";"Success Aerial duels";"Total Aerial duels";"Success Ground duels";"Total Ground duels";Interceptions;Recovery;Blocks;Mistakes;"Fouls won";"Success Passes";"Total Passes";"Pass accuracy";"Key passes";"Success Passes in final third";"Total Passes in final third";"Success Passes in middle third";"Total Passes in middle third";"Success Passes in defensive third";"Total Passes in defensive third";"Success Long passes";"Total Long passes";"Success Medium range passes";"Total Medium range passes";"Success Short passes";"Total Short passes";"Success Forward passes";"Total Forward passes";"Success Sideways passes";"Total Sideways passes";"Success Backward passes";"Total Backward passes";"Success Crosses";"Total Crosses";"Conceded goals";Catches;"Parries & Blocks";"Succesful goal kicks";"All goal kicks";"GK Interceptions Successful";"GK Interceptions Total"
"POLONIA WARSZAWA";9;"Marcel DZIEWA";CF;9.4;73;2;0;0;2;2;0;0;0;3;1;0;2;0;0;2;0;0;0;100%;0;1;2;3;0;1;0;5;0;0;3;7;12;58;0;2;5;4;5;1;2;1;1;0;3;6;8;3;7;4;5;0;0;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";1;"Dawid JANKOWSKI";GK;6.6;93;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;3;0;0;0;12;16;75;0;0;0;0;0;12;16;1;5;2;2;9;9;1;5;11;11;0;0;0;0;0;0;0;1;3;1;1
"POLONIA WARSZAWA";5;"Milan JAWOR";CB;6.5;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;1;0;0;1;1;1;2;0;21;24;88;0;0;0;10;12;11;12;2;5;10;10;9;9;6;9;13;13;2;2;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";4;"Daniel LESNIEWSKI";CB;6.5;93;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;1;2;0;0;4;2;2;3;0;38;43;88;0;1;3;15;16;22;24;3;5;21;24;14;14;14;17;23;25;1;1;0;1;0;0;0;3;3;0;0
"POLONIA WARSZAWA";3;"Filip PIETRZAK";LB;7;93;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0%;1;1;0;1;2;3;1;8;1;4;1;22;26;85;0;10;14;4;4;8;8;2;3;5;8;15;15;8;8;3;7;11;11;1;4;0;0;0;0;0;0;0
"POLONIA WARSZAWA";8;"Jan TYSZKO";CM;9.2;90;1;0;0;0;1;2;0;0;0;0;0;1;0;0;1;0;0;0;100%;1;2;0;0;1;3;1;8;0;0;2;23;26;88;0;7;9;14;15;2;2;1;3;9;9;13;14;11;13;4;5;8;8;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";11;"Pawel TYSZKO";LW;6.1;85;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0%;0;0;0;0;1;1;0;4;0;2;1;10;12;83;0;7;9;0;0;3;3;0;0;1;1;9;11;3;4;6;6;1;2;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";6;"Olivier ZIEMBICKI";CM;6.9;93;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;1;0;4;1;1;0;17;22;77;0;5;7;9;11;3;4;2;4;4;5;11;13;4;7;7;9;6;6;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";7;"Oliwier ZIEBA";RW;7.1;81;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0%;0;0;1;1;1;1;0;4;0;1;1;4;8;50;1;1;3;1;3;2;2;0;1;1;2;2;4;2;4;1;1;0;2;1;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";10;"Kacper ZIOLKOWSKI";CAM;8.6;90;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;2;3;0%;0;0;0;1;2;3;0;4;0;1;1;7;16;44;0;4;11;2;4;1;1;0;2;3;4;4;10;5;6;2;8;0;2;0;2;0;0;0;0;0;0;0
"POLONIA WARSZAWA";2;"Michal STYCZEN";RB;7.1;67;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;1;1;1;0%;3;5;1;2;7;10;2;5;0;0;0;10;18;56;0;3;5;5;10;2;3;2;4;0;4;8;10;5;11;4;6;1;1;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";14;"Franciszek BANAS";RW;5.9;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";22;"Victor CIEMPIEL";RB;6;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";16;"Bartosz JAWORSKI";CF;6;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";17;"Pawel KAZALA";CM;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";21;"Kacper PUSTOLA";CF;6;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";20;"Jakub SZIDEL";LW;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
