Team;Number;"Player name";Position;Rating;"Minutes played";Goals;"Goals own";Assists;Offsides;Shots;Freekicks;Corners;"Throw in";Fouls;"Yellow cards";"Red cards";"Shots on target";"Blocked shots";"Shots off target";"Shots inside pa";"Shots outside pa";"Success Take-Ons";"Total Take-Ons";"Shot Conversion Rate";"Success Tackles";"Total Tackles";"Success Aerial duels";"Total Aerial duels";"Success Ground duels";"Total Ground duels";Interceptions;Recovery;Blocks;Mistakes;"Fouls won";"Success Passes";"Total Passes";"Pass accuracy";"Key passes";"Success Passes in final third";"Total Passes in final third";"Success Passes in middle third";"Total Passes in middle third";"Success Passes in defensive third";"Total Passes in defensive third";"Success Long passes";"Total Long passes";"Success Medium range passes";"Total Medium range passes";"Success Short passes";"Total Short passes";"Success Forward passes";"Total Forward passes";"Success Sideways passes";"Total Sideways passes";"Success Backward passes";"Total Backward passes";"Success Crosses";"Total Crosses";"Conceded goals";Catches;"Parries & Blocks";"Succesful goal kicks";"All goal kicks";"GK Interceptions Successful";"GK Interceptions Total"
"POLONIA WARSZAWA";1;"Dawid JANKOWSKI";GK;6.1;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;3;0;0;0;8;9;89;0;0;0;0;0;8;9;1;2;2;2;5;5;5;6;3;3;0;0;0;0;0;1;0;3;4;0;0
"POLONIA WARSZAWA";8;"Victor CIEMPIEL";CM;7;92;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0%;1;1;4;6;2;4;7;7;2;1;1;11;17;65;1;4;6;6;8;1;3;3;4;6;9;2;4;1;4;8;10;2;3;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";9;"Marcel DZIEWA";CF;7;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0%;1;1;2;8;2;2;0;3;1;0;1;7;9;78;0;3;5;4;4;0;0;1;1;1;1;5;7;0;0;5;6;2;3;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";2;"Michal STYCZEN";RB;7.1;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0%;0;0;2;2;1;3;4;4;1;4;0;14;23;61;0;1;7;7;8;6;8;1;1;8;14;5;8;7;13;0;3;7;7;0;3;0;0;0;0;0;0;0
"POLONIA WARSZAWA";3;"Bartosz PAWLAK";LB;7;92;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;1;0%;0;1;2;3;0;2;3;4;1;1;0;27;38;71;3;11;13;12;19;4;6;3;6;9;12;15;20;9;16;9;13;9;9;2;3;0;0;0;0;0;0;0
"POLONIA WARSZAWA";11;"Kacper ZIOLKOWSKI";LW;8.2;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";7;"Filip GARCZYNSKI";RW;6.5;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0%;0;0;0;1;0;1;2;0;1;0;1;2;4;50;0;1;3;1;1;0;0;0;0;0;1;2;3;0;1;1;2;1;1;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";6;"Pawel KAZALA";DM;6.6;53;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;1;0;0;0;5;5;100;0;0;0;3;3;2;2;0;0;3;3;2;2;2;2;3;3;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";19;"Jan TYSZKO";CAM;7.5;92;0;0;0;0;2;2;7;0;1;0;0;0;1;1;1;1;1;2;0%;4;4;0;0;8;9;2;10;0;1;2;15;29;52;0;8;19;4;6;3;4;2;7;6;10;7;12;7;11;6;14;2;4;2;8;0;0;0;0;0;0;0
"POLONIA WARSZAWA";4;"Milan JAWOR";CB;6.9;92;0;0;0;0;2;0;0;0;1;1;0;1;0;1;1;1;0;0;0%;1;2;3;5;1;3;2;3;0;1;0;23;27;85;1;0;1;17;18;6;8;3;6;17;17;3;4;14;17;9;10;0;0;0;0;0;0;0;1;1;0;0
