Team;Number;"Player name";Position;Rating;"Minutes played";Goals;"Goals own";Assists;Offsides;Shots;Freekicks;Corners;"Throw in";Fouls;"Yellow cards";"Red cards";"Shots on target";"Blocked shots";"Shots off target";"Shots inside pa";"Shots outside pa";"Success Take-Ons";"Total Take-Ons";"Shot Conversion Rate";"Success Tackles";"Total Tackles";"Success Aerial duels";"Total Aerial duels";"Success Ground duels";"Total Ground duels";Interceptions;Recovery;Blocks;Mistakes;"Fouls won";"Success Passes";"Total Passes";"Pass accuracy";"Key passes";"Success Passes in final third";"Total Passes in final third";"Success Passes in middle third";"Total Passes in middle third";"Success Passes in defensive third";"Total Passes in defensive third";"Success Long passes";"Total Long passes";"Success Medium range passes";"Total Medium range passes";"Success Short passes";"Total Short passes";"Success Forward passes";"Total Forward passes";"Success Sideways passes";"Total Sideways passes";"Success Backward passes";"Total Backward passes";"Success Crosses";"Total Crosses";"Conceded goals";Catches;"Parries & Blocks";"Succesful goal kicks";"All goal kicks";"GK Interceptions Successful";"GK Interceptions Total"
"POLONIA WARSZAWA";22;"Victor CIEMPIEL";RB;7.4;86;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;2;0%;2;2;0;0;3;4;0;8;1;0;0;11;17;65;0;1;2;3;6;7;9;2;3;3;6;6;8;4;10;2;2;5;5;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";9;"Marcel DZIEWA";CF;7.6;97;0;0;0;0;2;0;1;0;1;0;0;0;1;1;1;1;0;0;0%;1;2;1;3;1;2;0;3;1;0;0;5;7;71;0;0;2;5;5;0;0;1;2;2;3;2;2;1;2;1;2;3;3;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";3;"Bartosz PAWLAK";LB;6.3;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0%;1;1;0;1;1;4;2;5;4;0;0;10;16;63;0;0;1;4;6;6;9;1;2;3;7;6;7;5;9;2;4;3;3;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";7;"Filip GARCZYNSKI";RW;7;76;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0%;0;1;0;0;0;2;2;3;1;1;1;4;7;57;0;3;3;1;2;0;2;0;0;1;3;3;4;0;1;1;3;3;3;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";10;"Bartosz JAWORSKI";CAM;7.9;97;0;0;0;1;2;0;0;0;1;0;0;1;0;1;0;2;0;1;0%;2;3;1;4;2;4;0;4;2;0;1;5;9;56;0;3;6;2;3;0;0;0;0;0;1;5;8;1;4;2;3;2;2;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";11;"Kacper ZIOLKOWSKI";LW;7.2;81;0;0;0;1;2;2;3;0;0;0;0;0;1;1;1;1;0;2;0%;4;4;0;0;4;6;2;5;1;0;0;8;15;53;2;3;7;4;6;1;2;2;3;0;5;6;7;2;6;2;5;4;4;0;3;0;0;0;0;0;0;0
"POLONIA WARSZAWA";5;"Adrian BAGINSKI";CB;6.8;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;1;1;3;3;1;1;0;5;0;0;0;12;16;75;1;0;0;5;6;7;10;2;2;7;9;3;5;6;8;6;7;0;1;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";6;"Pawel KAZALA";CM;6.4;61;0;0;0;0;0;1;0;0;3;1;0;0;0;0;0;0;0;1;0%;2;5;0;1;2;6;1;5;0;0;1;7;9;78;0;2;2;3;5;2;2;0;1;3;4;4;4;2;4;2;2;3;3;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";1;"Dawid JANKOWSKI";GK;6.4;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;1;3;0;0;0;7;8;88;0;0;0;0;0;7;8;1;2;4;4;2;2;2;3;5;5;0;0;0;0;1;0;3;1;2;3;3
"POLONIA WARSZAWA";20;"Norbert BIALOOKI";CB;6.6;97;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0%;0;0;1;1;0;2;0;4;1;0;1;14;20;70;0;0;2;6;8;8;10;1;3;6;9;7;8;7;13;7;7;0;0;0;0;0;0;0;1;2;0;0
