Team;Number;"Player name";Position;Rating;"Minutes played";Goals;"Goals own";Assists;Offsides;Shots;Freekicks;Corners;"Throw in";Fouls;"Yellow cards";"Red cards";"Shots on target";"Blocked shots";"Shots off target";"Shots inside pa";"Shots outside pa";"Success Take-Ons";"Total Take-Ons";"Shot Conversion Rate";"Success Tackles";"Total Tackles";"Success Aerial duels";"Total Aerial duels";"Success Ground duels";"Total Ground duels";Interceptions;Recovery;Blocks;Mistakes;"Fouls won";"Success Passes";"Total Passes";"Pass accuracy";"Key passes";"Success Passes in final third";"Total Passes in final third";"Success Passes in middle third";"Total Passes in middle third";"Success Passes in defensive third";"Total Passes in defensive third";"Success Long passes";"Total Long passes";"Success Medium range passes";"Total Medium range passes";"Success Short passes";"Total Short passes";"Success Forward passes";"Total Forward passes";"Success Sideways passes";"Total Sideways passes";"Success Backward passes";"Total Backward passes";"Success Crosses";"Total Crosses";"Conceded goals";Catches;"Parries & Blocks";"Succesful goal kicks";"All goal kicks";"GK Interceptions Successful";"GK Interceptions Total"
"POLONIA WARSZAWA";1;"Filip KEPSKI";GK;6.5;90;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;7;0;0;1;14;16;88;0;0;0;0;0;14;16;2;3;4;5;8;8;2;4;12;12;0;0;0;0;0;2;1;0;0;0;0
"POLONIA WARSZAWA";2;"Filip GARCZYNSKI";RB;6.2;90;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0%;1;2;0;2;2;3;1;9;2;0;1;24;36;67;1;6;12;7;11;11;13;5;9;9;12;10;15;8;18;11;13;5;5;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";21;"Kacper PUSTOLA";CF;6.3;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";6;"Victor CIEMPIEL";CAM;8.2;90;0;0;0;0;2;0;0;0;1;0;0;1;0;1;1;1;3;3;0%;2;2;0;1;6;6;0;9;0;0;2;26;31;84;1;6;9;17;19;3;3;3;5;10;10;13;16;6;8;12;15;8;8;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";16;"Oliwier ZIEBA";RM;7.7;90;0;0;0;4;3;1;3;0;0;0;0;1;1;1;0;3;2;3;0%;1;3;0;1;4;7;0;3;1;0;0;9;16;56;0;6;13;3;3;0;0;0;1;4;9;5;6;3;5;1;6;5;5;0;4;0;0;0;0;0;0;0
"POLONIA WARSZAWA";5;"Adrian BAGINSKI";CB;7;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;1;1;0;2;1;1;0;4;2;0;0;24;27;89;0;1;2;5;6;18;19;4;4;11;11;9;12;11;14;12;12;1;1;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";7;"Franciszek BANAS";LM;7;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;1;2;3;67;0;0;1;2;2;0;0;0;0;1;1;1;2;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";4;"Milan JAWOR";CB;6.5;90;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0%;0;0;0;0;0;0;0;4;0;1;0;19;22;86;1;4;5;9;11;6;6;1;2;10;11;8;9;8;11;9;9;2;2;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";3;"Piotr JEMIOLA";LB;7.4;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0%;1;2;1;1;4;5;1;8;1;0;0;20;26;77;0;6;6;12;18;2;2;0;1;10;11;10;14;8;13;6;6;6;7;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";8;"Pawel KAZALA";DM;6.5;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";10;"Maciej SKROK";CF;7;72;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;2;0;2;0%;2;2;0;0;2;4;0;5;0;1;0;5;9;56;0;2;3;3;5;0;1;0;0;0;2;5;7;1;3;1;3;3;3;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";19;"Wojciech DABROWSKI";CB;6.3;24;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;1;1;0;0;0;4;0;0;1;17;20;85;0;0;0;9;10;8;10;3;4;9;11;5;5;6;9;10;10;1;1;0;0;0;0;0;2;2;0;0
"POLONIA WARSZAWA";13;"Olivier ZIEMBICKI";CM;7;45;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;2;2;0%;3;3;0;0;5;6;0;4;0;0;0;24;29;83;3;4;4;14;18;6;7;1;2;12;14;11;13;4;8;7;8;13;13;1;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";11;"Maksymilian USAREK";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";14;"Julian KOSTRZYNSKI";RW;7.7;45;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;2;2;100%;1;1;0;0;3;3;0;4;2;0;0;6;14;43;0;3;8;2;5;1;1;0;3;1;3;5;8;2;5;1;6;3;3;0;4;0;0;0;0;0;0;0
"POLONIA WARSZAWA";17;"Oliwier DYNYSIUK";CF;6.5;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0%;1;1;1;1;2;2;0;1;0;1;0;7;8;88;0;2;3;4;4;1;1;0;0;2;2;5;6;3;4;2;2;2;2;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";30;"Oskar DREZEK";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
