Team;Number;"Player name";Position;Rating;"Minutes played";Goals;"Goals own";Assists;Offsides;Shots;Freekicks;Corners;"Throw in";Fouls;"Yellow cards";"Red cards";"Shots on target";"Blocked shots";"Shots off target";"Shots inside pa";"Shots outside pa";"Success Take-Ons";"Total Take-Ons";"Shot Conversion Rate";"Success Tackles";"Total Tackles";"Success Aerial duels";"Total Aerial duels";"Success Ground duels";"Total Ground duels";Interceptions;Recovery;Blocks;Mistakes;"Fouls won";"Success Passes";"Total Passes";"Pass accuracy";"Key passes";"Success Passes in final third";"Total Passes in final third";"Success Passes in middle third";"Total Passes in middle third";"Success Passes in defensive third";"Total Passes in defensive third";"Success Long passes";"Total Long passes";"Success Medium range passes";"Total Medium range passes";"Success Short passes";"Total Short passes";"Success Forward passes";"Total Forward passes";"Success Sideways passes";"Total Sideways passes";"Success Backward passes";"Total Backward passes";"Success Crosses";"Total Crosses";"Conceded goals";Catches;"Parries & Blocks";"Succesful goal kicks";"All goal kicks";"GK Interceptions Successful";"GK Interceptions Total"
"POLONIA WARSZAWA";5;"Adrian BAGINSKI";CB;7.5;96;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;1;0;0;0%;0;0;0;0;0;0;7;3;0;0;1;21;26;81;0;1;3;3;5;17;18;3;5;11;12;7;9;6;9;13;15;2;2;0;0;0;0;0;5;5;0;0
"POLONIA WARSZAWA";7;"Franciszek BANAS";RW;6.4;55;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;2;0%;0;0;0;0;1;2;1;3;0;0;0;6;12;50;1;2;7;4;4;0;1;0;0;1;3;5;9;3;5;1;4;2;3;0;2;0;0;0;0;0;0;0
"POLONIA WARSZAWA";4;"Norbert BIALOOKI";CB;8.3;96;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;3;0%;0;1;1;1;3;4;5;9;3;0;1;34;38;89;2;2;2;13;15;19;21;5;8;20;20;9;10;15;19;16;16;3;3;0;0;0;0;0;4;4;0;0
"POLONIA WARSZAWA";22;"Victor CIEMPIEL";RB;8;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0%;0;1;0;0;4;5;2;5;1;0;0;11;18;61;0;6;8;3;6;2;4;1;4;6;7;4;7;6;10;2;4;3;4;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";9;"Marcel DZIEWA";CAM;6.5;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0%;1;1;1;1;2;3;1;3;0;0;0;3;5;60;0;3;4;0;1;0;0;0;0;0;0;3;5;1;2;1;2;1;1;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";10;"Bartosz JAWORSKI";CF;6.4;75;0;0;0;0;2;0;0;0;0;0;0;0;1;1;2;0;0;0;0%;0;0;0;0;0;0;0;2;0;0;0;7;8;88;0;2;3;5;5;0;0;1;1;1;1;5;6;2;2;1;2;4;4;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";3;"Daniel LESNIEWSKI";LB;7;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0%;0;1;0;1;1;2;4;7;1;0;0;14;26;54;0;9;17;4;7;1;2;2;8;3;8;9;10;7;15;2;6;5;5;1;4;0;0;0;0;0;0;0
"POLONIA WARSZAWA";19;"Jan TYSZKO";CM;6.9;96;0;0;0;0;3;1;0;0;0;0;0;0;1;2;1;2;0;1;0%;1;1;0;0;1;2;1;7;0;0;2;13;17;76;1;7;7;5;8;1;2;0;0;8;10;5;7;7;9;4;6;2;2;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";6;"Olivier ZIEMBICKI";CM;6.5;73;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0%;1;2;0;0;1;2;1;3;1;0;0;11;14;79;0;4;5;5;6;2;3;2;3;5;5;4;6;5;8;5;5;1;1;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";11;"Kacper ZIOLKOWSKI";LW;7.9;96;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;2;4;0%;1;1;0;0;3;5;1;5;0;0;0;10;12;83;3;8;10;2;2;0;0;0;0;2;2;8;10;3;4;6;7;1;1;1;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";14;"Pawel KAZALA";DM;6.4;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";18;"Jakub SZIDEL";CAM;6.3;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";17;"Pawel TYSZKO";LW;6.6;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";20;"Oliwier DYNYSIUK";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";13;"Milan JAWOR";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";15;"Filip PIETRZAK";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";16;"Kacper PUSTOLA";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";25;"Dawid JANKOWSKI";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
