Team;Number;"Player name";Position;Rating;"Minutes played";Goals;"Goals own";Assists;Offsides;Shots;Freekicks;Corners;"Throw in";Fouls;"Yellow cards";"Red cards";"Shots on target";"Blocked shots";"Shots off target";"Shots inside pa";"Shots outside pa";"Success Take-Ons";"Total Take-Ons";"Shot Conversion Rate";"Success Tackles";"Total Tackles";"Success Aerial duels";"Total Aerial duels";"Success Ground duels";"Total Ground duels";Interceptions;Recovery;Blocks;Mistakes;"Fouls won";"Success Passes";"Total Passes";"Pass accuracy";"Key passes";"Success Passes in final third";"Total Passes in final third";"Success Passes in middle third";"Total Passes in middle third";"Success Passes in defensive third";"Total Passes in defensive third";"Success Long passes";"Total Long passes";"Success Medium range passes";"Total Medium range passes";"Success Short passes";"Total Short passes";"Success Forward passes";"Total Forward passes";"Success Sideways passes";"Total Sideways passes";"Success Backward passes";"Total Backward passes";"Success Crosses";"Total Crosses";"Conceded goals";Catches;"Parries & Blocks";"Succesful goal kicks";"All goal kicks";"GK Interceptions Successful";"GK Interceptions Total"
"POLONIA WARSZAWA";9;"Maksymilian USAREK";CF;7.6;75;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0%;0;0;1;3;0;4;0;4;2;1;0;6;7;86;1;5;6;1;1;0;0;0;0;2;2;4;5;3;4;3;3;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";16;"Oliwier ZIEBA";RW;8.4;95;1;0;0;0;1;1;1;0;1;0;0;1;0;0;1;0;0;1;100%;2;3;0;2;4;8;0;4;1;1;0;6;12;50;2;3;7;3;4;0;1;1;3;3;4;2;5;2;4;1;4;3;4;1;3;0;0;0;0;0;0;0
"POLONIA WARSZAWA";19;"Jan TYSZKO";CM;10;91;0;0;1;0;4;2;1;0;0;0;0;1;2;1;4;0;2;2;0%;2;3;1;3;5;7;1;3;1;0;1;13;17;76;2;6;9;2;3;5;5;3;3;3;4;7;10;4;5;5;8;4;4;2;2;0;0;0;0;0;0;0
"POLONIA WARSZAWA";2;"Filip GARCZYNSKI";RB;6.5;75;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0%;0;1;0;0;0;2;3;0;1;0;0;4;6;67;0;3;4;1;2;0;0;0;1;2;3;2;2;2;3;2;3;0;0;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";20;"Norbert BIALOOKI";CB;8.3;95;0;0;0;0;3;2;0;0;0;1;0;1;1;1;1;2;2;2;0%;2;2;2;2;4;5;1;5;2;0;5;8;18;44;0;1;3;1;3;6;12;4;11;2;4;2;3;4;12;4;6;0;0;0;1;0;0;0;1;1;0;0
"POLONIA WARSZAWA";8;"Bartosz JAWORSKI";CM;7.7;88;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0%;1;2;1;2;1;3;1;4;0;0;0;4;9;44;1;1;3;2;5;1;1;1;4;2;3;1;2;3;6;0;1;1;2;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";11;"Filip PIETRZAK";LW;7.4;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;0;0;0;0;1;2;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";3;"Bartosz PAWLAK";LB;6.8;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;4;4;1;1;5;8;3;6;0;0;0;9;20;45;0;0;1;4;10;5;9;1;3;2;6;6;11;6;16;3;3;0;1;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";10;"Maciej SKROK";CAM;8.4;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;2;2;0;0;2;2;0;5;0;0;1;2;6;33;0;0;0;1;5;1;1;0;1;1;3;1;2;1;3;0;1;1;2;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";4;"Daniel LESNIEWSKI";CB;6.5;95;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;1;0%;1;3;0;1;3;5;1;5;0;1;0;9;12;75;0;0;0;2;3;7;9;1;3;5;5;3;4;4;6;5;6;0;0;0;0;0;0;0;1;1;0;0
