pzpn_id,eyeball_id,home_away,opponent,date_time,Team,Number,Player name,Position,Rating,Minutes played,Goals,Goals own,Assists,Offsides,Shots,Freekicks,Corners,Throw in,Fouls,Yellow cards,Red cards,Shots on target,Blocked shots,Shots off target,Shots inside pa,Shots outside pa,Success Take-Ons,Total Take-Ons,Shot Conversion Rate,Success Tackles,Total Tackles,Success Aerial duels,Total Aerial duels,Success Ground duels,Total Ground duels,Interceptions,Recovery,Blocks,Mistakes,Fouls won,Success Passes,Total Passes,Pass accuracy,Key passes,Success Passes in final third,Total Passes in final third,Success Passes in middle third,Total Passes in middle third,Success Passes in defensive third,Total Passes in defensive third,Success Long passes,Total Long passes,Success Medium range passes,Total Medium range passes,Success Short passes,Total Short passes,Success Forward passes,Total Forward passes,Success Sideways passes,Total Sideways passes,Success Backward passes,Total Backward passes,Success Crosses,Total Crosses,Conceded goals,Catches,Parries & Blocks,Succesful goal kicks,All goal kicks,GK Interceptions Successful,GK Interceptions Total
2c37f6ea-4673-4bfa-934d-7ba6be237b28,58937,home,Stomil Olsztyn SA,2025-08-09T12:00:00,MKS POLONIA WARSZAWA,4.0,Norbert BIALOOKI,CB,8.2,96.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0%,2.0,2.0,2.0,5.0,6.0,6.0,3.0,9.0,0.0,0.0,0.0,24.0,28.0,86.0,2.0,4.0,4.0,13.0,17.0,7.0,7.0,4.0,5.0,13.0,14.0,7.0,9.0,9.0,13.0,13.0,13.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2c37f6ea-4673-4bfa-934d-7ba6be237b28,58937,home,Stomil Olsztyn SA,2025-08-09T12:00:00,MKS POLONIA WARSZAWA,21.0,Victor CIEMPIEL,RB,7.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0%,4.0,5.0,0.0,0.0,6.0,9.0,1.0,8.0,1.0,1.0,1.0,21.0,23.0,91.0,0.0,6.0,7.0,13.0,14.0,2.0,2.0,3.0,5.0,9.0,9.0,9.0,9.0,6.0,6.0,11.0,13.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2c37f6ea-4673-4bfa-934d-7ba6be237b28,58937,home,Stomil Olsztyn SA,2025-08-09T12:00:00,MKS POLONIA WARSZAWA,9.0,Marcel DZIEWA,CF,7.6,96.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0%,0.0,0.0,3.0,7.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,13.0,14.0,93.0,2.0,5.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,4.0,4.0,9.0,10.0,3.0,3.0,5.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2c37f6ea-4673-4bfa-934d-7ba6be237b28,58937,home,Stomil Olsztyn SA,2025-08-09T12:00:00,MKS POLONIA WARSZAWA,1.0,Dawid JANKOWSKI,GK,5.7,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,9.0,89.0,1.0,0.0,0.0,0.0,0.0,8.0,9.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0
2c37f6ea-4673-4bfa-934d-7ba6be237b28,58937,home,Stomil Olsztyn SA,2025-08-09T12:00:00,MKS POLONIA WARSZAWA,6.0,Pawel KAZALA,CM,6.7,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,7.0,9.0,78.0,0.0,2.0,3.0,4.0,5.0,1.0,1.0,0.0,0.0,3.0,3.0,4.0,6.0,3.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2c37f6ea-4673-4bfa-934d-7ba6be237b28,58937,home,Stomil Olsztyn SA,2025-08-09T12:00:00,MKS POLONIA WARSZAWA,7.0,Filip KOLODZIEJSKI,RW,7.9,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2c37f6ea-4673-4bfa-934d-7ba6be237b28,58937,home,Stomil Olsztyn SA,2025-08-09T12:00:00,MKS POLONIA WARSZAWA,5.0,Daniel LESNIEWSKI,CB,7.5,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,1.0,1.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,16.0,18.0,89.0,0.0,1.0,2.0,11.0,11.0,4.0,5.0,2.0,2.0,10.0,12.0,4.0,4.0,5.0,6.0,10.0,11.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2c37f6ea-4673-4bfa-934d-7ba6be237b28,58937,home,Stomil Olsztyn SA,2025-08-09T12:00:00,MKS POLONIA WARSZAWA,3.0,Bartosz PAWLAK,LB,6.4,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2c37f6ea-4673-4bfa-934d-7ba6be237b28,58937,home,Stomil Olsztyn SA,2025-08-09T12:00:00,MKS POLONIA WARSZAWA,8.0,Jan TYSZKO,CM,7.6,96.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0%,2.0,3.0,0.0,0.0,3.0,4.0,1.0,10.0,0.0,1.0,0.0,38.0,43.0,88.0,3.0,13.0,18.0,24.0,24.0,1.0,1.0,10.0,11.0,20.0,21.0,8.0,11.0,9.0,13.0,24.0,25.0,5.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2c37f6ea-4673-4bfa-934d-7ba6be237b28,58937,home,Stomil Olsztyn SA,2025-08-09T12:00:00,MKS POLONIA WARSZAWA,10.0,Olivier ZIEMBICKI,CAM,8.1,68.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100%,0.0,3.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,5.0,6.0,83.0,0.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,5.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2c37f6ea-4673-4bfa-934d-7ba6be237b28,58937,home,Stomil Olsztyn SA,2025-08-09T12:00:00,MKS POLONIA WARSZAWA,13.0,Adrian BAGINSKI,CB,6.2,28.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,14.0,18.0,78.0,0.0,4.0,6.0,7.0,8.0,3.0,4.0,2.0,3.0,9.0,10.0,3.0,5.0,10.0,14.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2c37f6ea-4673-4bfa-934d-7ba6be237b28,58937,home,Stomil Olsztyn SA,2025-08-09T12:00:00,MKS POLONIA WARSZAWA,14.0,Franciszek BANAS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2c37f6ea-4673-4bfa-934d-7ba6be237b28,58937,home,Stomil Olsztyn SA,2025-08-09T12:00:00,MKS POLONIA WARSZAWA,18.0,Jakub BARANOWSKI,RW,7.1,37.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,6.0,0%,3.0,5.0,0.0,1.0,4.0,11.0,0.0,6.0,0.0,0.0,1.0,7.0,13.0,54.0,2.0,5.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,7.0,1.0,2.0,6.0,11.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2c37f6ea-4673-4bfa-934d-7ba6be237b28,58937,home,Stomil Olsztyn SA,2025-08-09T12:00:00,MKS POLONIA WARSZAWA,22.0,Filip GARCZYNSKI,LW,6.9,37.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,2.0,1.0,1.0,0%,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,6.0,12.0,50.0,0.0,4.0,9.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,5.0,4.0,6.0,1.0,3.0,3.0,6.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2c37f6ea-4673-4bfa-934d-7ba6be237b28,58937,home,Stomil Olsztyn SA,2025-08-09T12:00:00,MKS POLONIA WARSZAWA,20.0,Filip PIETRZAK,LB,8.3,57.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0%,1.0,1.0,0.0,0.0,6.0,6.0,1.0,3.0,0.0,0.0,0.0,32.0,40.0,80.0,2.0,12.0,18.0,17.0,18.0,3.0,4.0,2.0,4.0,7.0,9.0,23.0,27.0,15.0,19.0,9.0,13.0,8.0,8.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
