pzpn_id,eyeball_id,home_away,opponent,date_time,true_goals,true_goals_opponent,goals,goals_opponent,possessions,possessions_opponent,shots_in_total,shots_in_total_opponent,fouls,fouls_opponent,offsides,offsides_opponent,free_kicks,free_kicks_opponent,corners,corners_opponent,average_player_game_rating,average_player_game_rating_opponent,shots_on_target,shots_on_target_opponent,shots_off_target,shots_off_target_opponent,shots_blocked,shots_blocked_opponent,shots_inside_pa,shots_inside_pa_opponent,shots_outside_pa,shots_outside_pa_opponent,successful_take_ons,successful_take_ons_opponent,all_take_ons,all_take_ons_opponent,shot_conversion_rate,shot_conversion_rate_opponent,successful_tackles,successful_tackles_opponent,all_tackles,all_tackles_opponent,aerial_duels,aerial_duels_opponent,interceptions,interceptions_opponent,clearances,clearances_opponent,recoveries,recoveries_opponent,blocks,blocks_opponent,mistakes,mistakes_opponent,won_fouls,won_fouls_opponent,second_ball_won,second_ball_won_opponent,successful_passes,successful_passes_opponent,passes,passes_opponent,pass_accuracy,pass_accuracy_opponent,key_passes,key_passes_opponent,successful_passes_in_final_third,successful_passes_in_final_third_opponent,all_passes_in_final_third,all_passes_in_final_third_opponent,successful_passes_in_middle_third,successful_passes_in_middle_third_opponent,all_passes_in_middle_third,all_passes_in_middle_third_opponent,successful_passes_in_defensive_third,successful_passes_in_defensive_third_opponent,all_passes_in_defensive_third,all_passes_in_defensive_third_opponent,successful_long_passes,successful_long_passes_opponent,all_long_passes,all_long_passes_opponent,successful_medium_range_passes,successful_medium_range_passes_opponent,all_medium_range_passes,all_medium_range_passes_opponent,successful_short_passes,successful_short_passes_opponent,all_short_passes,all_short_passes_opponent,successful_forward_passes,successful_forward_passes_opponent,all_forward_passes,all_forward_passes_opponent,successful_sideways_passes,successful_sideways_passes_opponent,all_sideways_passes,all_sideways_passes_opponent,successful_backward_passes,successful_backward_passes_opponent,all_backward_passes,all_backward_passes_opponent,successful_crosses,successful_crosses_opponent,all_crosses,all_crosses_opponent,field_tilt,field_tilt_opponent,all_goals_recognized
31e70a76-494b-44ac-95a9-f5d9969e06b1,72759,away,Wisła Kraków ,2025-10-31T11:00:00,3,1,3,1,41%,59%,19,21,10,12,4,1,12,10,8,3,7.33,6.62,6,7,8,9,5,5,11,7,8,14,2,2,16,10,16%,5%,28,12,41,27,27,27,22,11,18,16,98,86,20,15,6,3,12,10,58%,42%,210,425,318,526,66%,81%,11,17,32,110,60,148,87,186,118,219,91,129,140,159,30,29,61,67,74,190,112,213,106,206,145,246,71,120,151,195,92,196,112,217,47,109,55,114,3,4,11,14,29%,71%,True
e499ca04-55c2-4530-85d0-8a7bb3455c4d,73684,home,SMS Resovia Rzeszów,2025-11-08T17:30:00,1,1,1,1,62%,38%,19,7,16,10,1,4,12,17,13,4,6.79,5.61,4,3,11,3,4,1,13,4,6,3,13,5,33,11,5%,14%,13,34,19,51,68,68,56,70,23,49,104,58,17,17,12,6,10,16,58%,42%,378,119,509,253,74%,47%,13,7,87,26,147,56,215,49,261,102,76,44,101,95,40,16,78,68,202,60,253,100,136,43,178,85,136,51,218,166,163,43,203,59,79,25,88,28,6,3,37,11,72%,28%,True
a1d2b85d-a65f-40b0-a146-f8fc231e16d1,74469,away,Hutnik Kraków,2025-11-15T12:30:00,4,1,4,1,51%,49%,17,13,11,18,4,1,20,14,6,9,6.6,6.68,7,7,5,3,5,3,7,9,10,4,7,10,11,14,24%,8%,11,13,21,20,23,23,63,54,53,55,64,65,3,7,0,0,15,11,60%,40%,323,299,413,396,78%,76%,7,11,62,64,89,98,157,118,186,142,104,117,138,155,32,22,79,63,152,137,166,167,139,140,168,165,119,107,191,169,121,126,136,153,83,66,86,73,5,7,13,18,48%,52%,True
eda93f45-978a-43e3-8956-cc9963b39351,75233,away,Stomil Olsztyn SA,2025-11-21T14:30:00,0,2,0,2,61%,39%,23,14,13,10,1,0,8,14,2,4,7.85,7.04,10,5,8,6,5,3,13,10,10,4,20,25,31,36,0%,14%,20,16,32,27,51,51,17,15,17,30,130,95,19,20,15,10,10,13,60%,40%,382,168,517,293,74%,57%,17,10,101,30,156,60,162,63,212,104,119,75,149,129,46,32,86,81,155,66,184,98,180,70,246,113,131,70,218,163,155,64,194,88,95,34,104,41,5,3,21,18,72%,28%,True
a3abd411-97af-4a3a-801a-bf3eecd6846d,76096,home,AKS SMS GROT ŁÓDŹ,2025-11-29T17:30:00,5,0,5,0,52%,48%,16,12,11,11,0,2,10,10,5,5,7.03,6.79,8,4,4,5,4,3,11,6,5,6,9,8,17,15,31%,0%,32,20,52,42,41,41,17,22,14,15,115,104,10,13,7,6,11,11,56%,44%,308,276,424,389,73%,71%,10,8,60,21,90,56,126,132,164,167,122,123,170,166,31,25,76,58,96,137,134,177,181,114,214,154,91,88,181,167,131,116,155,145,86,72,88,77,5,5,21,23,62%,38%,True
6ed82535-eae3-4c11-a2b0-e6344445662e,84271,away,INDUSTRIA KORONA SA Kielce,2026-02-28T15:00:00,3,3,3,3,49%,51%,20,12,17,12,2,1,12,18,8,10,6.48,7.11,8,8,6,2,6,2,13,7,7,5,25,19,41,29,15%,25%,29,32,35,46,42,42,28,32,23,26,81,81,13,25,6,13,12,17,46%,54%,260,256,357,358,73%,72%,15,8,90,58,127,99,101,108,134,133,69,90,96,126,28,34,49,69,96,113,131,146,136,109,177,143,102,92,166,154,106,101,136,138,52,63,55,66,10,6,29,29,56%,44%,True
c6c53018-c388-4564-a1ca-190998b4e84e,85491,home,Legia Warszawa S.A.,2026-03-07T10:00:00,0,2,0,2,42%,58%,9,22,8,13,3,4,17,11,3,9,6.76,7.06,2,11,5,8,2,3,5,11,4,11,8,13,19,31,0%,9%,37,34,71,51,51,51,29,19,38,19,111,139,8,14,7,5,13,8,69%,31%,267,475,394,610,68%,78%,7,18,48,178,78,241,92,201,133,232,127,96,183,137,30,30,65,80,84,191,127,236,153,253,202,293,107,181,202,263,110,179,135,218,50,114,57,128,3,4,14,42,24%,76%,True
07b9e725-1c67-4b08-8415-75317a6ebbd8,86317,away,Widzew Łódź SA,2026-03-14T12:30:00,1,3,1,2,55%,45%,16,10,9,12,0,3,15,8,7,9,7.17,6.87,3,7,9,2,4,1,13,9,3,1,8,6,13,14,6%,20%,33,44,48,68,45,45,23,29,33,45,111,95,8,19,5,9,12,9,62%,38%,302,182,422,294,72%,62%,12,7,69,32,120,53,121,63,169,100,112,87,133,141,28,34,66,76,124,73,159,109,150,75,197,109,106,62,181,147,130,76,168,96,66,44,73,51,7,5,21,17,69%,31%,False
f5da7a93-e661-415b-a237-d1c924e09b74,88406,home,Stal Rzeszów S.A.,2026-03-21T12:00:00,2,4,2,3,53%,47%,25,14,18,7,2,2,9,19,8,1,7.01,7.05,4,8,9,2,12,4,18,8,7,6,6,7,10,9,8%,14%,10,11,17,17,22,22,98,93,82,99,112,81,5,12,0,0,6,18,50%,50%,333,279,449,396,74%,70%,14,8,91,30,148,49,123,82,158,106,119,167,143,240,74,61,121,120,97,79,136,108,162,139,192,167,208,158,271,243,84,84,129,107,41,37,49,45,14,2,33,7,75%,25%,False
cb488fbe-4d7e-4e15-a177-da07e181a78e,89508,away,UKS Talent Warszawa,2026-03-28T12:00:00,4,1,4,1,54%,46%,12,6,9,19,2,1,20,11,5,5,5.69,6.33,7,1,1,5,4,0,7,6,5,0,4,5,6,14,33%,17%,34,22,52,51,38,38,32,23,39,28,116,130,12,14,9,9,19,9,67%,33%,241,167,388,319,62%,52%,10,5,35,40,77,89,102,64,165,125,104,63,146,105,34,24,79,70,77,74,124,123,130,68,184,125,102,82,207,192,89,54,124,90,50,30,56,36,4,2,21,22,46%,54%,True
661a81ec-54b4-4ed0-b8f1-d4313401d6a8,91829,home,Jagiellonia Białystok SSA,2026-04-11T12:00:00,5,2,5,2,47%,53%,23,22,23,12,2,1,13,23,7,3,7.1,7.18,10,9,7,7,6,6,17,14,6,8,26,23,32,34,22%,9%,27,19,40,39,28,28,25,13,17,25,106,111,23,22,5,4,12,23,52%,48%,244,320,376,447,65%,72%,18,14,72,70,118,108,85,115,125,155,87,135,133,184,26,24,78,55,77,139,108,176,141,157,189,216,90,126,180,222,99,130,129,150,55,64,66,75,6,5,22,14,52%,48%,True
6924cf38-9f99-4908-9d67-fbe8e933ebb5,92939,home,ŁKS Łódź S.A.,2026-04-18T15:00:00,5,0,5,0,46%,54%,28,24,6,16,1,2,14,6,9,11,7.17,7.05,10,6,10,14,8,4,17,11,11,13,12,10,18,19,18%,0%,24,29,31,36,22,22,18,29,28,35,121,122,23,20,9,9,16,6,65%,35%,211,271,330,405,64%,67%,15,16,46,82,75,149,68,120,100,158,97,69,155,98,26,26,73,65,82,107,112,156,102,138,144,184,93,98,176,182,74,113,107,158,43,60,46,65,2,3,15,31,33%,67%,True
e19a2e58-5273-489c-a103-403c633f32d9,94523,home,Podlasie Biała Podlaska.,2026-04-25T12:00:00,2,0,2,0,55%,45%,27,13,12,15,3,3,17,15,9,2,6.82,6.47,7,4,12,5,8,4,18,5,9,8,17,8,32,15,7%,0%,10,22,21,56,23,23,15,30,13,22,118,88,11,19,10,7,15,12,64%,36%,352,207,471,342,75%,61%,18,7,119,29,167,47,148,63,192,112,85,115,112,183,37,15,73,59,130,104,172,145,185,88,226,138,143,76,221,184,119,88,153,109,90,43,97,49,9,4,21,11,78%,22%,True
0c0ef445-d8a3-4afc-a841-45f5101cda11,95078,away,S.S.M. Wisła Płock,2026-04-30T16:00:00,0,1,0,1,52%,48%,7,12,20,17,3,1,18,22,3,3,6.06,6.71,3,6,2,3,2,3,4,8,3,4,7,2,28,9,0%,8%,18,32,18,34,49,49,14,20,20,29,107,96,20,14,10,9,17,20,52%,48%,281,228,398,349,71%,65%,4,8,48,28,94,48,161,61,208,100,72,139,96,201,26,25,69,72,131,107,165,156,123,95,163,120,100,68,180,168,126,96,163,113,54,63,54,67,2,4,10,13,66%,34%,True
b6def53a-9d35-4e37-8844-d51b85ca3489,96181,away,Escola Varsovia,2026-05-09T14:45:00,2,1,2,1,44%,56%,12,10,17,17,1,1,18,18,4,3,6.44,6.91,5,5,4,2,3,3,5,6,7,4,6,3,10,10,17%,10%,21,47,33,58,29,29,16,21,35,37,127,116,13,19,7,11,17,17,58%,42%,231,333,352,470,66%,71%,9,6,39,81,75,130,91,148,143,197,101,104,134,143,19,41,47,81,90,153,137,195,122,139,167,194,95,126,178,225,95,126,121,153,41,81,52,92,6,5,18,16,37%,63%,True
1b2e2dcf-4db4-455b-834c-78df8561f4c2,97112,home,Wisła Kraków ,2026-05-16T12:00:00,3,2,3,2,40%,60%,20,11,16,11,3,2,12,17,6,5,7.11,7.96,9,5,7,5,4,1,10,5,10,6,5,5,12,18,15%,18%,33,19,77,48,51,51,34,22,28,25,101,94,5,9,13,6,11,16,52%,48%,180,426,302,546,60%,78%,15,6,41,69,75,111,58,223,107,264,81,134,120,171,25,30,64,67,86,213,134,252,69,183,104,227,69,127,154,210,59,197,87,224,52,102,61,112,6,5,28,22,40%,60%,True
