pzpn_id,eyeball_id,home_away,opponent,date_time,true_goals,true_goals_opponent,goals,goals_opponent,possessions,possessions_opponent,shots_in_total,shots_in_total_opponent,fouls,fouls_opponent,offsides,offsides_opponent,free_kicks,free_kicks_opponent,corners,corners_opponent,average_player_game_rating,average_player_game_rating_opponent,shots_on_target,shots_on_target_opponent,shots_off_target,shots_off_target_opponent,shots_blocked,shots_blocked_opponent,shots_inside_pa,shots_inside_pa_opponent,shots_outside_pa,shots_outside_pa_opponent,successful_take_ons,successful_take_ons_opponent,all_take_ons,all_take_ons_opponent,shot_conversion_rate,shot_conversion_rate_opponent,successful_tackles,successful_tackles_opponent,all_tackles,all_tackles_opponent,aerial_duels,aerial_duels_opponent,interceptions,interceptions_opponent,clearances,clearances_opponent,recoveries,recoveries_opponent,blocks,blocks_opponent,mistakes,mistakes_opponent,won_fouls,won_fouls_opponent,second_ball_won,second_ball_won_opponent,successful_passes,successful_passes_opponent,passes,passes_opponent,pass_accuracy,pass_accuracy_opponent,key_passes,key_passes_opponent,successful_passes_in_final_third,successful_passes_in_final_third_opponent,all_passes_in_final_third,all_passes_in_final_third_opponent,successful_passes_in_middle_third,successful_passes_in_middle_third_opponent,all_passes_in_middle_third,all_passes_in_middle_third_opponent,successful_passes_in_defensive_third,successful_passes_in_defensive_third_opponent,all_passes_in_defensive_third,all_passes_in_defensive_third_opponent,successful_long_passes,successful_long_passes_opponent,all_long_passes,all_long_passes_opponent,successful_medium_range_passes,successful_medium_range_passes_opponent,all_medium_range_passes,all_medium_range_passes_opponent,successful_short_passes,successful_short_passes_opponent,all_short_passes,all_short_passes_opponent,successful_forward_passes,successful_forward_passes_opponent,all_forward_passes,all_forward_passes_opponent,successful_sideways_passes,successful_sideways_passes_opponent,all_sideways_passes,all_sideways_passes_opponent,successful_backward_passes,successful_backward_passes_opponent,all_backward_passes,all_backward_passes_opponent,successful_crosses,successful_crosses_opponent,all_crosses,all_crosses_opponent,field_tilt,field_tilt_opponent,all_goals_recognized
2c37f6ea-4673-4bfa-934d-7ba6be237b28,58937,home,Stomil Olsztyn SA,2025-08-09T12:00:00,1,2,1,2,61%,39%,16,4,6,4,0,0,4,6,1,0,7.14,6.01,5,3,10,0,1,1,11,1,5,3,12,2,19,9,6%,50%,16,13,23,21,20,20,14,20,10,31,55,28,4,12,4,3,4,6,82%,18%,216,102,270,140,80%,73%,14,2,76,2,115,8,108,38,119,51,32,62,36,81,27,4,37,22,95,40,112,50,94,58,121,68,73,30,102,58,107,49,129,57,36,23,39,25,11,1,35,7,93%,7%,True
6a8839cc-64e4-41b8-aba8-353c5056468b,59476,away,AKS SMS GROT ŁÓDŹ,2025-08-16T12:00:00,1,1,1,1,49%,51%,5,12,6,5,0,1,6,6,3,8,5.93,6.5,1,1,1,5,3,6,4,7,1,5,9,3,9,6,0%,0%,6,6,9,15,15,15,16,5,34,18,55,58,6,3,0,0,5,6,50%,50%,76,91,134,159,57%,57%,4,6,15,32,25,70,25,33,44,45,36,26,64,43,11,18,39,45,31,41,45,64,34,32,49,49,40,46,82,84,26,28,39,55,10,17,12,19,3,6,9,25,26%,74%,True
32823e33-3524-432c-918e-47bd339439e8,59970,home,INDUSTRIA KORONA SA Kielce,2025-08-24T12:00:00,1,0,1,0,46%,54%,12,12,8,8,1,0,7,8,1,3,7.51,7.57,5,4,5,4,2,4,9,5,3,7,14,7,18,10,8%,0%,16,17,29,26,10,10,12,5,25,10,51,54,17,9,5,6,8,8,25%,75%,144,213,190,277,76%,77%,9,8,18,58,29,88,59,86,72,112,67,69,89,77,12,14,30,25,59,97,76,117,73,102,84,135,56,72,93,115,57,86,66,100,31,55,31,62,1,3,5,16,25%,75%,True
b9c47d4a-9ab2-4db6-afbf-919848c612ce,65772,away,Legia Warszawa S.A.,2025-08-30T12:00:00,1,1,1,1,39%,61%,11,12,8,8,1,0,8,8,5,4,6.8,6.91,2,3,6,3,3,6,6,10,5,2,9,8,20,20,9%,8%,13,12,16,14,13,13,16,18,23,17,40,39,8,9,4,1,8,8,46%,54%,86,211,130,261,66%,81%,5,8,25,52,42,71,26,99,38,122,35,60,50,68,7,16,26,26,39,108,48,131,40,87,56,104,36,72,64,107,28,82,42,93,22,57,24,61,2,4,12,14,37%,63%,True
e20157b6-e2ab-4f31-ac49-77644d1b45bf,66015,home,Widzew Łódź SA,2025-09-06T17:30:00,0,0,0,0,53%,47%,12,5,8,13,0,0,13,7,5,1,6.95,7.49,4,1,4,1,4,3,8,5,4,0,8,4,12,6,0%,0%,5,4,9,12,8,8,30,25,39,38,59,45,5,3,0,0,12,7,63%,38%,106,92,158,149,67%,62%,9,4,36,20,58,42,44,34,54,53,25,36,42,52,16,21,36,46,31,31,42,45,58,38,76,56,50,42,81,79,43,36,55,53,12,12,18,15,5,2,11,5,58%,42%,True
0adaf90f-44b8-4a60-a108-468596f1828a,67278,away,Stal Rzeszów S.A.,2025-09-13T13:30:00,0,2,0,2,48%,52%,6,8,13,12,1,1,12,13,2,2,5.63,6.75,0,4,4,2,2,2,4,4,2,4,9,6,15,7,0%,25%,8,17,9,22,5,5,10,9,14,8,55,52,5,6,4,2,12,13,60%,40%,100,113,157,177,64%,64%,5,5,33,19,58,43,40,45,58,60,27,49,41,74,10,16,28,33,36,44,60,71,54,52,69,72,40,52,79,89,38,44,55,65,22,16,23,22,1,1,13,11,57%,43%,True
541cea7a-ffcb-434f-be21-d73f76afc1e0,67624,home,UKS Talent Warszawa,2025-09-20T17:30:00,2,1,2,1,45%,55%,7,10,12,2,0,4,6,11,4,3,6.88,5.81,5,5,1,3,1,2,6,7,1,3,3,10,5,16,29%,10%,6,2,6,2,5,5,4,7,24,20,37,40,15,7,16,13,2,12,25%,75%,87,129,130,178,67%,72%,7,8,17,34,34,60,30,65,47,84,40,30,49,34,10,21,25,33,29,55,37,67,48,53,68,78,31,54,61,85,41,51,51,64,15,24,18,29,4,6,10,19,36%,64%,True
0372e0b3-3974-4f34-a6a8-f17a492e04b2,68466,away,Jagiellonia Białystok SSA,2025-09-26T19:30:00,1,2,1,2,47%,53%,9,12,7,11,1,1,11,8,1,3,6.19,7.15,4,6,3,4,2,2,6,6,3,6,8,16,8,19,11%,17%,14,10,23,18,24,24,29,19,20,6,35,40,5,3,4,2,11,7,67%,33%,91,133,137,186,66%,72%,4,7,16,37,25,56,32,64,47,88,43,32,65,42,7,7,31,23,39,57,48,72,45,69,58,91,34,58,67,93,42,49,53,65,15,26,17,28,1,3,6,15,31%,69%,True
c76f59f1-035f-4041-82e7-588d8ccff2b6,69316,away,ŁKS Łódź S.A.,2025-10-03T11:30:00,1,3,1,3,58%,42%,14,7,6,12,3,2,12,9,6,2,5.95,6.75,5,5,3,2,6,0,10,7,4,0,5,2,12,7,7%,43%,6,17,8,19,7,7,11,16,10,24,52,44,10,14,5,5,12,6,83%,17%,168,76,229,127,73%,60%,7,2,63,10,89,22,62,29,84,48,43,37,56,57,24,9,42,28,62,26,82,43,82,41,105,56,59,37,94,80,67,28,85,34,42,11,50,13,8,0,14,6,80%,20%,True
12f482aa-c27e-439b-82b6-2d87520d7243,,away,Podlasie Biała Podlaska.,2025-10-11T13:00:00,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
