Team;Number;"Player name";Position;Rating;"Minutes played";Goals;"Goals own";Assists;Offsides;Shots;Freekicks;Corners;"Throw in";Fouls;"Yellow cards";"Red cards";"Shots on target";"Blocked shots";"Shots off target";"Shots inside pa";"Shots outside pa";"Success Take-Ons";"Total Take-Ons";"Shot Conversion Rate";"Success Tackles";"Total Tackles";"Success Aerial duels";"Total Aerial duels";"Success Ground duels";"Total Ground duels";Interceptions;Recovery;Blocks;Mistakes;"Fouls won";"Success Passes";"Total Passes";"Pass accuracy";"Key passes";"Success Passes in final third";"Total Passes in final third";"Success Passes in middle third";"Total Passes in middle third";"Success Passes in defensive third";"Total Passes in defensive third";"Success Long passes";"Total Long passes";"Success Medium range passes";"Total Medium range passes";"Success Short passes";"Total Short passes";"Success Forward passes";"Total Forward passes";"Success Sideways passes";"Total Sideways passes";"Success Backward passes";"Total Backward passes";"Success Crosses";"Total Crosses";"Conceded goals";Catches;"Parries & Blocks";"Succesful goal kicks";"All goal kicks";"GK Interceptions Successful";"GK Interceptions Total"
"POLONIA WARSZAWA";5;"Adrian BAGINSKI";CB;6.8;95;0;0;0;0;2;0;0;0;1;0;0;1;0;1;1;1;0;0;0%;0;1;3;4;0;2;2;11;2;0;0;24;34;71;0;1;2;9;16;14;16;2;6;15;17;7;11;5;12;15;17;4;5;0;0;0;0;0;1;1;0;0
"POLONIA WARSZAWA";20;"Norbert BIALOOKI";CB;6.5;60;0;0;0;0;1;3;0;0;0;1;0;1;0;0;0;1;1;1;0%;0;2;0;0;2;5;1;8;2;0;1;36;44;82;2;0;1;12;13;24;30;13;18;14;15;9;11;20;27;15;16;1;1;0;0;0;0;0;4;4;0;0
"POLONIA WARSZAWA";22;"Victor CIEMPIEL";CM;7.5;95;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0%;5;6;0;0;7;8;2;22;3;0;3;30;41;73;3;8;12;17;21;5;8;5;9;12;15;13;17;14;21;10;14;6;6;0;1;0;0;0;0;0;0;0
"POLONIA WARSZAWA";9;"Marcel DZIEWA";CF;6.4;58;0;0;0;0;2;0;0;0;0;1;0;0;1;1;2;0;0;0;0%;1;3;2;2;1;3;0;5;1;1;1;8;13;62;1;4;7;4;5;0;1;0;0;5;6;3;7;4;5;0;0;4;8;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";7;"Filip KOLODZIEJSKI";RW;6.5;78;0;0;0;0;2;1;3;0;1;0;0;1;1;0;2;0;1;6;0%;1;2;1;1;2;8;0;4;0;3;1;9;14;64;1;3;7;5;6;1;1;1;2;4;6;4;6;1;2;4;7;4;5;1;3;0;0;0;0;0;0;0
"POLONIA WARSZAWA";2;"Daniel LESNIEWSKI";RB;7.7;95;0;0;0;0;1;4;0;0;0;0;0;0;0;1;0;1;1;1;0%;4;4;2;2;6;7;2;13;1;0;3;35;51;69;1;6;10;15;23;14;18;2;3;18;29;15;19;14;24;13;17;8;10;1;3;0;0;0;1;1;0;0
"POLONIA WARSZAWA";3;"Filip PIETRZAK";LB;6.4;95;0;0;0;0;1;2;0;0;0;0;0;0;0;1;1;0;0;1;0%;0;1;0;0;1;3;0;13;1;0;3;34;49;69;2;13;21;11;17;10;11;2;4;14;17;18;28;18;25;11;17;5;7;1;4;0;0;0;0;0;0;0
"POLONIA WARSZAWA";11;"Pawel TYSZKO";LW;7.1;95;0;0;0;3;8;1;0;0;2;0;0;3;3;2;8;0;2;2;0%;0;2;0;0;3;5;0;7;0;0;6;18;25;72;5;12;18;6;7;0;0;1;1;4;6;13;18;3;3;11;15;4;7;0;0;0;0;0;0;0;0;0
"POLONIA WARSZAWA";1;"Beniamin WROBLEWSKI";GK;5.5;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0%;0;0;1;1;0;0;0;9;0;0;0;21;28;75;0;0;0;0;0;21;28;6;12;4;4;11;12;7;13;13;14;1;1;0;0;4;0;2;3;3;1;1
"POLONIA WARSZAWA";6;"Olivier ZIEMBICKI";CM;6.2;58;0;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0%;0;0;0;0;1;1;2;2;1;0;0;10;14;71;0;1;1;5;8;4;5;0;2;5;6;5;6;2;5;2;3;6;6;0;0;0;0;0;0;0;0;0
